Локация;Тир;Размер сундуков;Содержимое
Ouritos-Ofailos;T6;📦 Большие (Главный спавн);🟡 Золотые, 🟢 Зеленые (x4), 🦇 Данж (x3)
Soues-Uzurtum;T6;▫️ Маленькие (Разбросаны);🟡 Золотые (x3), 🌿 Волокно (x2), ⛏ Руда, 🦇 Данж
Soritos-Aiaitum;T6;▫️ Маленькие (Разбросаны);🟡 Золотые, 🟢 Зеленые (x2), 🌲 Дерево, ⛏ Руда, 🦇 Данж
Souitos-Oiozlum;T6;▫️ Маленькие (Разбросаны);🟡 Золотые (x3), 🟢 Зеленые, ⛏ Руда, 🪨 Камень, 🦇 Данж
Souos-Ososlos;T6;📦 Большие (Главный спавн);🔵 Синие (x2), 🟢 Зеленые (x4), 🦇 Данж (x2)
Synitos-Availos;T6;📦 Большие (Главный спавн);🟡 Золотые, 🟢 Зеленые (x3), 🌿 Волокно (x2), 🌲 Дерево, 🪨 Камень
Synitos-Ofurlos;T6;📦 Большие (Главный спавн);🟡 Золотые (x2), 🟢 Зеленые, 🦇 Данж, 🌿 Волокно
Setent-Al-Vietis;T6;▫️ Маленькие (Разбросаны);🔵 Синие (x2), 🟢 Зеленые, 🌲 Дерево
Tasitos-Obayam;T6;📦 Большие (Главный спавн);🔵 Синие (x3), 🟢 Зеленые (x3), 🦇 Данж
Setent-Al-Vietis;T6;▫️ Маленькие (Разбросаны);🔵 Синие (x2), 🟢 Зеленые, 🌲 Дерево
Secent-al-tersum;T6;▫️ Маленькие (Разбросаны);🔵 Синие (x2), 🟢 Зеленые, 🌿 Волокно
Tetos-Ulaurom;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x8), 🌿 Волокно, ⛏ Руда (x2), 🦇 Данж
Tonitos-Igurlum;T6;▫️ Маленькие (Разбросаны);🟡 Золотые, 🔵 Синие, 🟢 Зеленые, 🦇 Данж (x2), 🪨 Камень, ⛏ Руда
Tynos-Eyexrom;T6;▫️ Маленькие (Разбросаны);🔵 Синие (x2), 🦇 Данж (x2), 🪨 Камень (x2), 🐅 Шкура, 🌿 Волокно
Tynos-Uxavrom;T6;▫️ Маленькие (Разбросаны);🟡 Золотые, 🔵 Синие, 🟢 Зеленые (x4), 🦇 Данж, 🪨 Камень (x2)
Xases-Oxoulum;T6;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x5), 🦇 Данж, 🌲 Дерево, 🐅 Шкура
Xebos-Emimsum;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x4), ⛏ Руда (x2), 🌲 Дерево, 🪨 Камень, 🦇 Данж
Xerites-Oxoulum;T6;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x5), 🌲 Дерево, 🐅 Шкура, 🦇 Данж
Xetitos-Emimsum;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x4), 🦇 Данж, 🪨 Камень, 🌲 Дерево, ⛏ Руда (x2)
Xetos-Obursum;T6;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x5), ⛏ Руда, 🐅 Шкура, 🦇 Данж
Xilitos-Aoemaum;T6;▫️ Маленькие (Разбросаны);🟡 Золотые, 🟢 Зеленые (x4), ⛏ Руда, 🌿 Волокно, 🐅 Шкура, 🌲 Дерево, 🦇 Данж
Xilos-Osayam;T6;📦 Большие (Главный спавн);🟡 Золотые, 🔵 Синие (x2), 🟢 Зеленые (x2), 🦇 Данж (x2)
Xiros-Aiairom;T6;▫️ Маленькие (Разбросаны);🟡 Золотые (x2), 🔵 Синие, 🟢 Зеленые (x2), ⛏ Руда
Xoritos-Exostum;T6;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x5), 🌲 Дерево, 🌿 Волокно, 🦇 Данж
Xoritos-Osayam;T6;📦 Большие (Главный спавн);🟡 Золотые, 🔵 Синие (x2), 🟢 Зеленые (x2), 🦇 Данж (x2)
Hasos-Inayaum;T6;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x2), 🌲 Дерево, 🌿 Волокно, 🦇 Данж
Xynos-Oyogam;T6;📦 Большие (Главный спавн);🟡 Золотые (x2), 🔵 Синие (x2), 🟢 Зеленые, 🦇 Данж, 🪨 Камень (x2)
Coros-Aiayrom;T6;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x3), 🌿 Волокно, 🪨 Камень, 🦇 Данж
Soritos-Avamsum;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x6), 🦇 Данж, 🌲 Дерево, 🐅 Шкура
Fynitos-Egoisum;T6;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые, 🪨 Камень, 🌲 Дерево, 🦇 Данж (x2)
Quaent-Al-Nusis;T6;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые, 🐅 Шкура, 🪨 Камень
Secent-Et-Vyntum;T6;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые, 🌲 Дерево (x2)
Quaent-Al-Viesom;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x5), ⛏ Руда (x2)
Quaent-Al-Vynsum;T6;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x5), 🐅 Шкура
Puyitos-Aiataum;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x3), 🦇 Данж (x3), 🐅 Шкура
Quatun-Et-Nusas;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x5), 🪨 Камень (x2)
Quatun-Nusas;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x5), 🪨 Камень (x2), 🌲 Дерево
Secent-Al-Duosom;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x5), 🌲 Дерево, ⛏ Руда
Secent-AI-Odetis;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x5), 🪨 Камень
Sectun-in-Vyntis;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x5), 🪨 Камень, 🐅 Шкура
Sectun-Tersas;T6;▫️ Маленькие (Разбросаны);🟢 Зеленые (x5), 🌲 Дерево, ⛏ Руда
Setitos-Obobrom;T6;▫️ Маленькие (Разбросаны);🟡 Золотые (x2), 🔵 Синие, 🟢 Зеленые (x2), 🦇 Данж (x2)
Settun-Al-Odetum;T6;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые, 🪨 Камень
Piritos-Opabrom;T6;▫️ Маленькие (Разбросаны);🟡 Золотые (x2), 🟢 Зеленые (x4), 🌿 Волокно, 🦇 Данж
Sieos-Ofugtum;T6;▫️ Маленькие (Разбросаны);🟡 Золотые (x3), 🟢 Зеленые (x2), 🪨 Камень, 🦇 Данж
Qiient-Tersom;T6;▫️ Маленькие (Разбросаны);🔵 Синие (x2), 🟢 Зеленые, 🪨 Камень, 🌲 Дерево
Conitos-Uruxtum;T4;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x6), 🌲 Дерево, 🦇 Данж
Silos-Apenlum;T4;▫️ Маленькие (Разбросаны);🟢 Зеленые (x5), 🌲 Дерево (x2), 🪨 Камень, ⛏ Руда
Coues-Exakrom;T4;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x8), 🦇 Данж
Conitos-uruxtum;T4;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x6), 🌲 Дерево, 🦇 Данж
Conitos-uruxtum;T4;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x6), 🌲 Дерево, 🦇 Данж
Ooros-Ecunsum;T4;▫️ Маленькие (Разбросаны);🟢 Зеленые (x5), 🌲 Дерево, ⛏ Руда (x3), 🌿 Волокно, 🐅 Шкура, 🦇 Данж (x2)
Puros-Amayam;T4;📦 Большие (Главный спавн);🔵 Синие, 🟢 Зеленые (x4), 🦇 Данж (x2)
Huyos-Uxeulum;T4;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x8), 🌲 Дерево, 🦇 Данж
Oasos-Uromlum;T4;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x2), 🌲 Дерево, 🐅 Шкура, 🌿 Волокно, 🦇 Данж
Tuyitos-Auiusum;T4;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x2), 🪨 Камень (x2), 🐅 Шкура
Conitos-Ofailos;T4;📦 Большие (Главный спавн);🔵 Синие (x2), 🟢 Зеленые (x3), 🦇 Данж (x2)
Sonitos-Ayailos;T4;📦 Большие (Главный спавн);🔵 Синие, 🟢 Зеленые (x7), 🦇 Данж
Oieos-Umiutum;T4;▫️ Маленькие (Разбросаны);🟢 Зеленые (x3), 🐅 Шкура, 🪨 Камень, ⛏ Руда, 🦇 Данж
Xouitos-Aeoilos;T4;📦 Большие (Главный спавн);🔵 Синие (x3), 🟢 Зеленые (x3), 🦇 Данж
Cieitos-Avioaum;T4;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x2), ⛏ Руда, 🐅 Шкура, 🪨 Камень (x2)
Cetos-Obaelos;T4;📦 Большие (Главный спавн);🔵 Синие (x2), 🟢 Зеленые (x3), 🦇 Данж (x2)
Ceros-Aeaylum;T4;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x3), 🌲 Дерево, ⛏ Руда, 🐅 Шкура
Fynites-Aeaosum;T4;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые, 🐅 Шкура, ⛏ Руда
Coros-Alieam;T4;📦 Большие (Главный спавн);🔵 Синие, 🟢 Зеленые (x2), 🌿 Волокно, ⛏ Руда, 🪨 Камень
Cebitos-Aeaylum;T4;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x3), 🌲 Дерево, ⛏ Руда, 🐅 Шкура
Coues-Exakrom;T4;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x8), 🦇 Данж
Casitos-Alieam;T4;📦 Большие (Главный спавн);🔵 Синие, 🟢 Зеленые (x2), 🌿 Волокно, ⛏ Руда, 🪨 Камень
Conitos-Oxaeaum;T4;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x2), 🌿 Волокно, 🐅 Шкура, 🦇 Данж
Peritos-Oconun;T4;📦 Большие (Главный спавн);🔵 Синие, 🟢 Зеленые (x3), 🐅 Шкура (x3), 🪨 Камень
Xuyitos-Aioblos;T4;📦 Большие (Главный спавн);🔵 Синие, 🟢 Зеленые (x6), 🪨 Камень, 🦇 Данж (x3)
Xiles-Aiavlum;T4;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x6), 🌲 Дерево, 🌿 Волокно
Tetos-Igaelum;T4;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x7), 🌿 Волокно, 🌲 Дерево, 🦇 Данж
Teros-Auiusum;T4;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x2), 🐅 Шкура, 🪨 Камень (x2)
Synos-Ayailos;T4;📦 Большие (Главный спавн);🔵 Синие (x1), 🟢 Зеленые (x7), 🦇 Данж (x1)
Synites-Aoarsum;T4;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые, 🌿 Волокно (x2), ⛏ Руда, 🐅 Шкура
Soritos-Apenlum;T4;▫️ Маленькие (Разбросаны);🟢 Зеленые (x5), 🌲 Дерево (x2), ⛏ Руда, 🪨 Камень
Siritos-Avoirom;T4;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x8), 🦇 Данж, 🌿 Волокно
Sasitos-Umogaum;T4;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые, 🌲 Дерево (x2), 🪨 Камень, ⛏ Руда
Sases-Aoarsum;T4;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые, 🌿 Волокно (x2), 🐅 Шкура, ⛏ Руда
Poros-Oconun;T4;📦 Большие (Главный спавн);🔵 Синие, 🟢 Зеленые (x3), 🪨 Камень, 🐅 Шкура (x3)
Poros-Aiayrom;T4;▫️ Маленькие (Разбросаны);🟢 Зеленые (x4), 🦇 Данж (x3), 🪨 Камень, 🌲 Дерево, ⛏ Руда
Pieos-Eterrom;T4;▫️ Маленькие (Разбросаны);🟢 Зеленые (x6), 🪨 Камень (x2), 🌲 Дерево, 🐅 Шкура, 🌿 Волокно
Petitos-Amayam;T4;📦 Большие (Главный спавн);🔵 Синие, 🟢 Зеленые (x4), 🦇 Данж (x2)
Peritos-Avosam;T4;📦 Большие (Главный спавн);🔵 Синие, 🟢 Зеленые (x3), 🦇 Данж (x2)
Tetitos-Ayoslum;T4;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x6), 🐅 Шкура, 🌿 Волокно
Oieitos-Ixakaum;T4;▫️ Маленькие (Разбросаны);🟢 Зеленые (x4), 🌲 Дерево (x2), ⛏ Руда, 🦇 Данж (x2)
Hynes-Exemrom;T4;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x2), 🐅 Шкура, 🪨 Камень (x2), ⛏ Руда (x2)
Hurites-Ouaylos;T4;📦 Большие (Главный спавн);🔵 Синие, 🟢 Зеленые (x8), 🪨 Камень
Hebites-Exemrom;T4;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x2), ⛏ Руда (x2), 🪨 Камень
Fynitos-Abalam;T4;📦 Большие (Главный спавн);🔵 Синие (x2), 🟢 Зеленые (x4), 🦇 Данж
Foues-Aeaosum;T4;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x2), 🐅 Шкура, ⛏ Руда, 🦇 Данж
Fonos-Aiugsum;T4;▫️ Маленькие (Разбросаны);🪨 Камень (x2), 🦇 Данж (x2), 🌲 Дерево, 🌿 Волокно
Firos-Enomaum;T4;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые, 🌿 Волокно, ⛏ Руда, 🐅 Шкура, 🦇 Данж
Feritos-Enomaum;T4;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые, 🌿 Волокно, ⛏ Руда, 🐅 Шкура, 🦇 Данж
Cynitos-Aiagsum;T4;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x2), 🌲 Дерево, 🐅 Шкура (x2), 🦇 Данж
Cuyites-Iooinum;T4;▫️ Маленькие (Разбросаны);🔵 Синие, ⛏ Руда (x2), 🌿 Волокно, 🦇 Данж (x2)
Curites-Exakrom;T4;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x8), 🦇 Данж
Cieitos-Obaelos;T4;📦 Большие (Главный спавн);🔵 Синие (x2), 🟢 Зеленые (x3), 🦇 Данж (x2)
Cebos-Avemlum;T4;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x2), 🌿 Волокно, 🪨 Камень, 🌲 Дерево
Ceres-Iooinum;T4;▫️ Маленькие (Разбросаны);🔵 Синие, ⛏ Руда (x2), 🌿 Волокно, 🦇 Данж (x2)
Hebes-Ouaylos;T4;📦 Большие (Главный спавн);🔵 Синие, 🟢 Зеленые (x8), 🪨 Камень
Hilitos-Aiigaum;T4;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые, ⛏ Руда (x2), 🌿 Волокно, 🪨 Камень, 🦇 Данж (x2)
Pilitos-Eterrom;T4;▫️ Маленькие (Разбросаны);🟢 Зеленые (x6), 🪨 Камень (x2), 🌲 Дерево, 🌿 Волокно, 🐅 Шкура
Oeritos-Ecunsum;T4;▫️ Маленькие (Разбросаны);🟢 Зеленые (x5), ⛏ Руда (x3), 🌲 Дерево, 🌲 Дерево, 🌿 Волокно, 🐅 Шкура
Oasos-Eraerom;T4;▫️ Маленькие (Разбросаны);🟢 Зеленые (x4), 🌲 Дерево, 🌿 Волокно, 🦇 Данж (x2)
Filos-Abalam;T4;📦 Большие (Главный спавн);🔵 Синие (x2), 🟢 Зеленые (x3), 🦇 Данж
Cieitos-Avioaum;T4;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x2), ⛏ Руда, 🪨 Камень (x2), 🐅 Шкура, 🦇 Данж
Casos-Uruxtum;T4;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x6), 🌲 Дерево, 🦇 Данж
Sebos-Avoirom;T4;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x8), 🌿 Волокно, 🦇 Данж
Pynites-Ouozlum;T4;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые, 🌿 Волокно, 🐅 Шкура, 🪨 Камень
Firitos-Alodrom;T4;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x2), 🌿 Волокно (x3), 🌲 Дерево
Touos-Uoemtum;T4;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x6), ⛏ Руда, 🌲 Дерево, 🪨 Камень
Soros-Axaesum;T4;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x7), 🐅 Шкура
Ouyos-Aoeuam;T4;📦 Большие (Главный спавн);🔵 Синие, 🟢 Зеленые (x2), ⛏ Руда, 🌲 Дерево, 🦇 Данж (x2)
Cynos-Oxaeaum;T4;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x2), 🌿 Волокно, 🐅 Шкура, 🦇 Данж
Cilos-Ofailos;T4;📦 Большие (Главный спавн);🔵 Синие (x2), 🟢 Зеленые (x3), 🦇 Данж (x2)
Tieos-Ayoslum;T4;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x6), 🌿 Волокно, 🐅 Шкура, 🦇 Данж
Oasitos-Aoeuam;T4;📦 Большие (Главный спавн);🔵 Синие, 🟢 Зеленые (x2), ⛏ Руда, 🌲 Дерево, 🦇 Данж (x2)
Oebitos-Eraerom;T4;▫️ Маленькие (Разбросаны);🟢 Зеленые (x4), 🌲 Дерево, 🌿 Волокно, 🦇 Данж (x2)
Cilos-Avioaum;T4;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x2), ⛏ Руда, 🐅 Шкура, 🪨 Камень (x2), 🦇 Данж
Oonitos-Umiutum;T4;▫️ Маленькие (Разбросаны);🟢 Зеленые (x3), 🐅 Шкура, 🪨 Камень, ⛏ Руда, 🦇 Данж
Tynos-Atatlos;T4;📦 Большие (Главный спавн);🔵 Синие (x3), 🟢 Зеленые (x3), 🦇 Данж
Xasos-Aeoilos;T4;📦 Большие (Главный спавн);🔵 Синие (x3), 🟢 Зеленые (x3), 🦇 Данж
Oynitos-Uromlum;T4;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x2), 🌲 Дерево, 🐅 Шкура, 🌿 Волокно, 🦇 Данж
Fuyitos-Acalun;T4;📦 Большие (Главный спавн);🔵 Синие, 🐅 Шкура, 🪨 Камень, 🌲 Дерево, 🦇 Данж (x2)
Casos-Aiagsum;T4;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x2), 🌲 Дерево, 🐅 Шкура (x2), 🦇 Данж
Ponitos-Aiayrom;T4;▫️ Маленькие (Разбросаны);🟢 Зеленые (x4), 🪨 Камень, 🌲 Дерево, ⛏ Руда, 🦇 Данж
Xuros-Eyoztum;T4;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x6), 🪨 Камень, 🌿 Волокно, 🐅 Шкура, 🦇 Данж
Pures-Ouozlum;T4;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые, 🐅 Шкура, 🌿 Волокно, 🪨 Камень
Fynitos-Aiugsum;T4;▫️ Маленькие (Разбросаны);🪨 Камень (x2), 🌲 Дерево, 🌿 Волокно, 🦇 Данж (x2)
Febos-Acalun;T4;📦 Большие (Главный спавн);🔵 Синие, 🐅 Шкура, 🪨 Камень, 🌲 Дерево, 🦇 Данж (x3)
Fasitos-Atezsum;T4;▫️ Маленькие (Разбросаны);🔵 Синие, 🟢 Зеленые (x2), 🌿 Волокно, 🌲 Дерево (x2)
Pasos-Avosam;T4;📦 Большие (Главный спавн);🔵 Синие, 🟢 Зеленые (x3), 🦇 Данж (x2)
